학교명,지역,주소,Latitude,Longitude,우편번호
가야대학교(고령),경북,경상북도 고령군 대가야읍 대가야로 1103 ,35.7161053,128.2515653,40139
가야대학교(김해),경남,경상남도 김해시 삼계로 208 ,35.2694115,128.8738294,50830
가천대학교,경기,경기도 성남시 수정구 성남대로 1342 ,37.4507452,127.1288474,13120
가톨릭관동대학교,강원,강원도 강릉시 범일로579번길 24 ,37.7362925,128.8740304,25601
가톨릭대학교,경기,경기도 부천시 원미구 지봉로 43 ,37.4865549,126.8018828,14662
가톨릭대학교,서울,서울특별시 서초구 반포대로 222 ,37.5003721,127.0059955,6591
가톨릭대학교,서울,서울특별시 종로구 창경궁로 296-12 ,37.5859218,127.0043275,3083
감리교신학대학교,서울,서울특별시 서대문구 독립문로 56 ,37.5673344,126.9621921,3745
강남대학교,경기,경기도 용인시 기흥구 강남로 40 ,37.27574,127.13249,16979
강릉원주대학교,강원,강원도 강릉시 죽헌길 7 ,37.7701317,128.8690744,25457
강릉원주대학교,강원,강원도 원주시 흥업면 남원로 150 ,37.3046967,127.9226353,26403
강원대학교,강원,강원도 춘천시 강원대학길 1 ,37.8694561,127.7444707,24341
강원대학교,강원,강원도 삼척시 중앙로 346 ,37.4538118,129.1623725,25913
건국대학교,서울,서울특별시 광진구 능동로 120 ,37.5407625,127.0793428,5029
건국대학교(글로컬),충북,충청북도 충주시 충원대로 268 ,36.9494546,127.9083146,27478
건양대학교,충남,충청남도 논산시 대학로 121 ,36.1826203,127.111405,32992
건양대학교,대전,대전광역시 서구 관저동로 158 ,36.3067823,127.3422503,35365
경기대학교,경기,경기도 수원시 영통구 광교산로 154-42 ,37.300485,127.035833,16227
경기대학교,서울,서울특별시 서대문구 경기대로9길 24 ,37.5648332,126.9624113,3746
경남대학교,경남,경상남도 창원시 마산합포구 경남대학로 7 ,35.18035,128.553385,51767
경동대학교,강원,강원도 고성군 토성면 봉포4길 46 ,38.250613,128.556866,24764
경동대학교,강원,강원도 원주시 문막읍 견훤로 815 ,37.2655846,127.7944068,26495
경동대학교,경기,경기도 양주시 경동대학로 27 ,37.8104769,127.0723993,11458
경북대학교,대구,대구광역시 북구 대학로 80 ,35.888836,128.6102997,41566
경상국립대학교,경남,경상남도 진주시 진주대로 501 ,35.1531629,128.0994469,52828
경성대학교,부산,부산광역시 남구 수영로 309 ,35.1397716,129.0984966,48434
경운대학교,경북,경상북도 구미시 산동면 강동로 730 ,36.1691464,128.4679212,39160
경일대학교,경북,경상북도 경산시 하양읍 가마실길 50 ,35.9084351,128.8012025,38428
경주대학교,경북,경상북도 경주시 태종로 188 ,35.8298508,129.1619766,38065
경희대학교,서울,서울특별시 동대문구 경희대로 26 ,37.5953632,127.0527612,2447
계명대학교,대구,대구광역시 달서구 달구벌대로 1095 ,35.8557375,128.4889252,42601
고려대학교,서울,서울특별시 성북구 안암로 145 ,37.5910919,127.0302628,2841
고려대학교(세종),세종,세종특별자치시 조치원읍 세종로 2511 ,36.6093252,127.2898829,30019
